-----------Perceptron---------
***** Random Search *****
Cross-Validation:10 and number of iterations:50
# Tuning hyper-parameters for accuracy

Best parameters and scores set found on development set:
{'warm_start': False, 'shuffle': True, 'random_state': 10, 'penalty': None, 'n_jobs': 2, 'fit_intercept': False, 'eta0': 4, 'alpha': 0.001}
0.862 (+/-0.047) for {'warm_start': True, 'shuffle': False, 'random_state': 10, 'penalty': 'l2', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 4, 'alpha': 1e-05}
0.848 (+/-0.080) for {'warm_start': True, 'shuffle': True, 'random_state': 60, 'penalty': 'elasticnet', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 2, 'alpha': 1e-05}
0.847 (+/-0.061) for {'warm_start': False, 'shuffle': False, 'random_state': 60, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 3, 'alpha': 0.0001}
0.833 (+/-0.060) for {'warm_start': True, 'shuffle': True, 'random_state': 140, 'penalty': 'elasticnet', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.0001}
0.665 (+/-0.119) for {'warm_start': False, 'shuffle': True, 'random_state': 60, 'penalty': 'elasticnet', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 4, 'alpha': 0.01}
0.843 (+/-0.056) for {'warm_start': True, 'shuffle': False, 'random_state': 60, 'penalty': 'l2', 'n_jobs': 2, 'fit_intercept': True, 'eta0': 3, 'alpha': 1e-05}
0.861 (+/-0.064) for {'warm_start': False, 'shuffle': False, 'random_state': 40, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': False, 'eta0': 4, 'alpha': 0.001}
0.859 (+/-0.040) for {'warm_start': False, 'shuffle': True, 'random_state': 10, 'penalty': 'l1', 'n_jobs': 3, 'fit_intercept': True, 'eta0': 3, 'alpha': 1e-05}
0.855 (+/-0.069) for {'warm_start': True, 'shuffle': False, 'random_state': 60, 'penalty': 'elasticnet', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.0001}
0.858 (+/-0.043) for {'warm_start': True, 'shuffle': False, 'random_state': 40, 'penalty': 'l1', 'n_jobs': 2, 'fit_intercept': True, 'eta0': 3, 'alpha': 1e-05}
0.856 (+/-0.047) for {'warm_start': False, 'shuffle': True, 'random_state': 40, 'penalty': None, 'n_jobs': 4, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.001}
0.725 (+/-0.051) for {'warm_start': False, 'shuffle': True, 'random_state': 40, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.01}
0.843 (+/-0.058) for {'warm_start': False, 'shuffle': False, 'random_state': 10, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.0001}
0.806 (+/-0.048) for {'warm_start': True, 'shuffle': True, 'random_state': 10, 'penalty': 'elasticnet', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.001}
0.860 (+/-0.057) for {'warm_start': False, 'shuffle': False, 'random_state': 40, 'penalty': None, 'n_jobs': 2, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.0001}
0.832 (+/-0.045) for {'warm_start': False, 'shuffle': False, 'random_state': 20, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 4, 'alpha': 0.0001}
0.827 (+/-0.051) for {'warm_start': True, 'shuffle': False, 'random_state': 10, 'penalty': 'elasticnet', 'n_jobs': 3, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.001}
